data_id,state_id,indicator_id,categories_id,nfhs_id,ST,Non-ST,Total
407,18,65,8,2,9.1,9,9
408,18,66,8,2,26.4,33.6,32.8
409,18,67,8,2,6.2,4.7,4.8
410,18,68,8,2,77.4,69.4,70.3
411,18,69,8,2,65.4,65.3,65.3
412,18,70,8,2,66.8,63.1,63.5
413,18,71,8,2,13.3,16,15.7
414,18,72,8,2,9,14.1,13.5
415,18,73,8,2,50.1,52.1,51.9
416,18,74,8,2,61.9,63.8,63.6
417,18,75,9,2,11.8,18.5,17.7
418,18,76,9,2,6.7,14.3,13.3
419,18,77,9,2,16.7,14.9,15.2
420,18,78,9,2,18.8,15.9,16.3
421,18,79,9,2,43.1,45.2,44.9
422,18,80,9,2,62.2,67.8,67.1
423,18,81,9,2,61.9,53.1,54.2
424,18,82,9,2,69.2,65.4,65.9
425,18,83,10,2,8.5,9.2,9.1
426,18,84,10,2,14.8,16.2,16
427,18,85,11,2,14.5,12.1,12.4
428,18,86,11,2,16.9,13.9,14.3
429,18,87,12,2,19.1,22.5,22.1
430,18,88,12,2,55.9,51.2,51.8
431,18,89,12,2,28.6,4.1,7.3
432,18,90,12,2,59,20.3,25.2
433,18,91,13,2,98.4,97.6,97.7
434,18,92,13,2,300,300,300
435,18,93,13,2,95.5,94.5,94.6
436,18,94,13,2,95,91.6,92.1
437,18,95,14,2,18.2,19.1,19
438,18,96,14,2,39.3,43.2,42.7
439,18,97,14,2,81.4,78,78.5
440,18,98,14,2,59.5,56.9,57.2
441,18,99,15,2,36.9,35.1,35.4
442,18,100,15,2,29.4,26.9,27.2
443,18,101,15,2,1.6,2.3,2.2
444,18,102,15,2,1.9,0,1.7
445,18,103,16,2,97.2,94.1,94.5
446,18,104,16,2,99.5,97.7,98
447,18,105,16,2,97.2,93.5,94
448,18,106,16,2,99.5,97.5,97.8
449,18,107,16,2,19.1,19.2,19.2
450,18,108,16,2,28.5,24.4,25
451,18,109,17,2,19.9,27.7,26.8
